"ROWID","MinimumLatitude","MaximumLatitude","MinimumLongitude","MaximumLongitude"
"95","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"96","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"97","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"98","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"99","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"100","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"101","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"102","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"139","38.86555862426758","38.890960693359375","-77.13114166259766","-77.0985107421875"
"145","38.865684509277344","38.89108657836914","-77.13188171386719","-77.09925079345703"
"155","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"156","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"157","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"158","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"159","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"160","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"161","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"162","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"163","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"164","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"165","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"166","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"167","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"175","38.86561584472656","38.89101791381836","-77.12773132324219","-77.09510040283203"
"260","38.86611557006836","38.89152145385742","-77.12973022460938","-77.09709930419922"
"14","38.866004943847656","38.89140701293945","-77.1317138671875","-77.09907531738281"
"261","38.865684509277344","38.89108657836914","-77.13187408447266","-77.09923553466797"
"253","38.864952087402344","38.892494201660156","-77.13224029541016","-77.09686279296875"
"292","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"293","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"294","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"295","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"296","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"304","38.86561584472656","38.89101791381836","-77.12773132324219","-77.09510040283203"
"191","38.857540130615234","38.895790100097656","-77.13777923583984","-77.0886459350586"
"152","38.85755157470703","38.89822769165039","-77.13882446289062","-77.0865707397461"
"275","38.85755157470703","38.89822769165039","-77.13882446289062","-77.0865707397461"
"149","38.8587760925293","38.89670181274414","-77.13922882080078","-77.09051513671875"
"267","38.8587760925293","38.89670181274414","-77.13922882080078","-77.09051513671875"
"264","38.85903549194336","38.897682189941406","-77.137939453125","-77.08829498291016"
"144","38.85903549194336","38.897682189941406","-77.137939453125","-77.08829498291016"
"258","38.859737396240234","38.897735595703125","-77.13797760009766","-77.08916473388672"
"136","38.859737396240234","38.897735595703125","-77.13797760009766","-77.08916473388672"
"251","38.85977554321289","38.8980598449707","-77.13870239257812","-77.08952331542969"
"130","38.85977554321289","38.8980598449707","-77.13870239257812","-77.08952331542969"
"178","38.860023498535156","38.89866638183594","-77.1357650756836","-77.08612060546875"
"306","38.860023498535156","38.89866638183594","-77.1357650756836","-77.08612060546875"
"183","38.86052703857422","38.89320755004883","-77.13518524169922","-77.09320068359375"
"254","38.86103820800781","38.89950180053711","-77.13926696777344","-77.08985137939453"
"131","38.86103820800781","38.89950180053711","-77.13926696777344","-77.08985137939453"
"83","38.86111068725586","38.90022277832031","-77.13807678222656","-77.08782958984375"
"297","38.86077880859375","38.89735794067383","-77.1349105834961","-77.08792114257812"
"168","38.86077880859375","38.89735794067383","-77.1349105834961","-77.08792114257812"
"76","38.86077880859375","38.89735794067383","-77.1349105834961","-77.08792114257812"
"271","38.84531784057617","38.90981674194336","-77.1559829711914","-77.07313537597656"
"9","38.84531784057617","38.90981674194336","-77.1559829711914","-77.07313537597656"
"151","38.84531784057617","38.90981674194336","-77.1559829711914","-77.07313537597656"
"91","38.84554672241211","38.90147399902344","-77.14897918701172","-77.07714080810547"
"301","38.84935760498047","38.914878845214844","-77.15582275390625","-77.07164764404297"
"179","38.84935760498047","38.914878845214844","-77.15582275390625","-77.07164764404297"
"220","38.84938049316406","38.904808044433594","-77.15328216552734","-77.08208465576172"
"8","38.84938049316406","38.904808044433594","-77.15328216552734","-77.08208465576172"
"53","38.84994125366211","38.90186309814453","-77.14554595947266","-77.07884979248047"
"56","38.85074234008789","38.904388427734375","-77.15485382080078","-77.08594512939453"
"17","38.85166931152344","38.906070709228516","-77.1506118774414","-77.08072662353516"
"79","38.851924896240234","38.895423889160156","-77.14139556884766","-77.08552551269531"
"44","38.85214614868164","38.89891052246094","-77.14915466308594","-77.08908081054688"
"78","38.85279083251953","38.909423828125","-77.15420532226562","-77.08145904541016"
"300","38.85297775268555","38.90093231201172","-77.14657592773438","-77.0849838256836"
"3","38.85297775268555","38.90093231201172","-77.14657592773438","-77.0849838256836"
"187","38.85297775268555","38.90093231201172","-77.14657592773438","-77.0849838256836"
"133","38.853397369384766","38.904239654541016","-77.14656829833984","-77.08125305175781"
"284","38.85376739501953","38.90046310424805","-77.1436538696289","-77.08367156982422"
"77","38.85388946533203","38.89910888671875","-77.13998413085938","-77.08190155029297"
"90","38.8544921875","38.90785217285156","-77.14793395996094","-77.07939147949219"
"146","38.8544921875","38.90785217285156","-77.14793395996094","-77.07939147949219"
"58","38.854637145996094","38.906593322753906","-77.14981079101562","-77.08306121826172"
"270","38.8548698425293","38.90653991699219","-77.14962005615234","-77.08324432373047"
"263","38.855247497558594","38.90275192260742","-77.1468276977539","-77.08580780029297"
"19","38.855247497558594","38.90275192260742","-77.1468276977539","-77.08580780029297"
"148","38.855247497558594","38.90275192260742","-77.1468276977539","-77.08580780029297"
"94","38.855350494384766","38.90428924560547","-77.14285278320312","-77.0799789428711"
"176","38.85575866699219","38.90766525268555","-77.14928436279297","-77.08260345458984"
"195","38.85578536987305","38.901275634765625","-77.13977813720703","-77.08134460449219"
"268","38.85596466064453","38.90652084350586","-77.146728515625","-77.08177947998047"
"199","38.85622024536133","38.89655303955078","-77.14031219482422","-77.08850860595703"
"312","38.85622024536133","38.89655303955078","-77.14031219482422","-77.08850860595703"
"219","38.85673522949219","38.898094177246094","-77.14456939697266","-77.09143829345703"
"226","38.857757568359375","38.90362548828125","-77.1484146118164","-77.08949279785156"
"93","38.857635498046875","38.900001525878906","-77.14860534667969","-77.09418487548828"
"274","38.85665512084961","38.899253845214844","-77.14373016357422","-77.0890121459961"
"57","38.85331344604492","38.89656066894531","-77.14704895019531","-77.09149932861328"
"210","38.85365676879883","38.90049362182617","-77.14735412597656","-77.08718872070312"
"323","38.85673522949219","38.898094177246094","-77.14456939697266","-77.09143829345703"
"324","38.84938049316406","38.904808044433594","-77.15328216552734","-77.08208465576172"
"330","38.857757568359375","38.90362548828125","-77.1484146118164","-77.08949279785156"
"334","38.85576629638672","38.89971160888672","-77.14701080322266","-77.09056091308594"
"337","38.85098648071289","38.90504837036133","-77.15377044677734","-77.0843276977539"
"345","38.85708236694336","38.902557373046875","-77.14881896972656","-77.09040832519531"
"348","38.84994125366211","38.90186309814453","-77.14554595947266","-77.07884979248047"
"111","37.59170913696289","40.26850891113281","-78.81520080566406","-75.3746109008789"
"235","37.59485626220703","40.27165603637695","-78.81375122070312","-75.37300109863281"
"117","37.60204315185547","40.27884292602539","-78.75619506835938","-75.31510162353516"
"242","37.60234069824219","40.27914047241211","-78.75658416748047","-75.31547546386719"
"121","37.627079010009766","40.30387878417969","-78.83556365966797","-75.39324951171875"
"73","38.828407287597656","38.927852630615234","-77.17500305175781","-77.0472640991211"
"132","38.835304260253906","38.924869537353516","-77.17247009277344","-77.05741882324219"
"45","38.835304260253906","38.924869537353516","-77.17247009277344","-77.05741882324219"
"66","38.83755874633789","38.91120147705078","-77.16041564941406","-77.06582641601562"
"216","38.83973693847656","38.9230842590332","-77.16389465332031","-77.05682373046875"
"82","38.839908599853516","38.92291259765625","-77.16948699951172","-77.06285858154297"
"137","38.84051513671875","38.91852569580078","-77.165771484375","-77.06556701660156"
"5","38.84208679199219","38.91326904296875","-77.16118621826172","-77.06974792480469"
"205","38.84282302856445","38.92282485961914","-77.16512298583984","-77.06234741210938"
"154","38.8431396484375","38.91349411010742","-77.1571044921875","-77.06672668457031"
"61","38.8431396484375","38.91349411010742","-77.1571044921875","-77.06672668457031"
"153","38.84422302246094","38.918174743652344","-77.1634521484375","-77.0684585571289"
"72","38.84422302246094","38.918174743652344","-77.1634521484375","-77.0684585571289"
"196","38.84669494628906","38.91832733154297","-77.1593017578125","-77.0672836303711"
"51","38.846797943115234","38.904850006103516","-77.1571273803711","-77.08255767822266"
"245","37.6273193359375","40.30411911010742","-78.83517456054688","-75.39285278320312"
"247","37.60407638549805","40.28087615966797","-78.73530578613281","-75.29411315917969"
"250","38.835304260253906","38.924869537353516","-77.17247009277344","-77.05741882324219"
"255","38.81460952758789","38.94608688354492","-77.19956970214844","-77.03067016601562"
"259","38.834468841552734","38.92259216308594","-77.1719970703125","-77.05879211425781"
"273","38.84422302246094","38.918174743652344","-77.1634521484375","-77.0684585571289"
"282","38.8431396484375","38.91349411010742","-77.1571044921875","-77.06672668457031"
"307","38.78819274902344","38.967098236083984","-77.23233032226562","-77.00251770019531"
"315","38.84669494628906","38.91832733154297","-77.1593017578125","-77.0672836303711"
"326","38.84282302856445","38.92282485961914","-77.16512298583984","-77.06234741210938"
"333","38.806602478027344","38.95123291015625","-77.20284271240234","-77.01705932617188"
"341","38.83973693847656","38.9230842590332","-77.16389465332031","-77.05682373046875"
"357","37.59489440917969","40.27169418334961","-78.81381225585938","-75.37306213378906"
"364","37.60232925415039","40.27912902832031","-78.75662994384766","-75.31552124023438"
"367","37.62770462036133","40.30450439453125","-78.83506774902344","-75.39273071289062"
"369","37.60368347167969","40.28048324584961","-78.73548126220703","-75.29430389404297"
"405","38.827491760253906","38.87963104248047","-77.10871887207031","-77.04176330566406"
"413","38.8237190246582","38.881839752197266","-77.11998748779297","-77.04535675048828"
"411","38.82434844970703","38.884212493896484","-77.11392211914062","-77.03704833984375"
"408","38.82381820678711","38.88400650024414","-77.11966705322266","-77.04237365722656"
"386","38.81891632080078","38.88106155395508","-77.11944580078125","-77.0396499633789"
"409","38.81672286987305","38.88016128540039","-77.12107849121094","-77.03961944580078"
"389","38.8191032409668","38.88405227661133","-77.12257385253906","-77.03917694091797"
"400","38.807640075683594","38.90092086791992","-77.13761901855469","-77.01783752441406"
"395","38.79367446899414","38.90827941894531","-77.14846801757812","-77.00130462646484"
"491","37.5948371887207","40.271636962890625","-78.81375122070312","-75.37300872802734"
"613","37.5948371887207","40.271636962890625","-78.81375122070312","-75.37300872802734"
"329","38.86588668823242","38.891292572021484","-77.12653350830078","-77.09390258789062"
"327","38.869110107421875","38.89451599121094","-77.12757873535156","-77.0949478149414"
"321","38.86670684814453","38.892112731933594","-77.12670135498047","-77.09407043457031"
"314","38.867759704589844","38.893165588378906","-77.12709045410156","-77.0944595336914"
"217","38.86970138549805","38.89510726928711","-77.12773132324219","-77.09510040283203"
"215","38.869693756103516","38.89509963989258","-77.12787628173828","-77.09524536132812"
"211","38.86674499511719","38.89215087890625","-77.12619018554688","-77.09355926513672"
"190","38.868797302246094","38.894203186035156","-77.12773132324219","-77.09510040283203"
"180","38.86543655395508","38.89084243774414","-77.13339233398438","-77.10076141357422"
"16","38.86601257324219","38.89141845703125","-77.13338470458984","-77.10075378417969"
"2","38.86452865600586","38.88993453979492","-77.13241577148438","-77.09978485107422"
"319","38.86886978149414","38.89427185058594","-77.12773132324219","-77.09510040283203"
"318","38.863739013671875","38.88914108276367","-77.1322250366211","-77.09959411621094"
"214","38.86970138549805","38.895103454589844","-77.12789154052734","-77.09526062011719"
"213","38.86690902709961","38.892311096191406","-77.1260757446289","-77.09344482421875"
"204","38.86589813232422","38.891300201416016","-77.12652587890625","-77.0938949584961"
"192","38.86886978149414","38.89427185058594","-77.12773132324219","-77.09510040283203"
"193","38.863853454589844","38.88925552368164","-77.13111877441406","-77.0984878540039"
"209","38.863739013671875","38.88914108276367","-77.1322250366211","-77.09959411621094"
"325","38.866783142089844","38.892189025878906","-77.12657928466797","-77.09394073486328"
"303","38.8668212890625","38.89222717285156","-77.12744140625","-77.09480285644531"
"172","38.8668212890625","38.89222717285156","-77.12744140625","-77.09480285644531"
"311","38.868465423583984","38.89386749267578","-77.12760162353516","-77.09496307373047"
"194","38.86675262451172","38.892154693603516","-77.126708984375","-77.09407043457031"
"320","38.86249542236328","38.889930725097656","-77.13172912597656","-77.09648895263672"
"206","38.86249542236328","38.889930725097656","-77.13172912597656","-77.09648895263672"
"171","38.86640167236328","38.89500045776367","-77.12995147705078","-77.09320831298828"
"332","38.86221694946289","38.891414642333984","-77.13016510009766","-77.09266662597656"
"208","38.86263656616211","38.892677307128906","-77.12998962402344","-77.09140014648438"
"198","38.8642578125","38.8944206237793","-77.12959289550781","-77.0908432006836"
"335","38.86801528930664","38.89823532104492","-77.13291931152344","-77.09410095214844"
"218","38.86801528930664","38.89823532104492","-77.13291931152344","-77.09410095214844"
"81","38.86531448364258","38.89632797241211","-77.13333129882812","-77.09349822998047"
"142","38.86531448364258","38.89632797241211","-77.13333129882812","-77.09349822998047"
"265","38.86531448364258","38.89632797241211","-77.13333129882812","-77.09349822998047"
"336","38.863338470458984","38.88874053955078","-77.13284301757812","-77.10021209716797"
"338","38.8670768737793","38.89248275756836","-77.1260986328125","-77.09346008300781"
"342","38.86970138549805","38.89510726928711","-77.12773132324219","-77.09510040283203"
"177","38.858245849609375","38.89833068847656","-77.142822265625","-77.0913314819336"
"277","38.858245849609375","38.89833068847656","-77.142822265625","-77.0913314819336"
"309","38.85929870605469","38.90340805053711","-77.14586639404297","-77.08920288085938"
"197","38.85929870605469","38.90340805053711","-77.14586639404297","-77.08920288085938"
"87","38.85929870605469","38.90340805053711","-77.14586639404297","-77.08920288085938"
"281","38.85943603515625","38.90420913696289","-77.14266967773438","-77.08515167236328"
"169","38.85943603515625","38.90420913696289","-77.14266967773438","-77.08515167236328"
"222","38.86026382446289","38.90620422363281","-77.1429672241211","-77.08394622802734"
"308","38.86052322387695","38.90385818481445","-77.14096069335938","-77.08529663085938"
"185","38.86052322387695","38.90385818481445","-77.14096069335938","-77.08529663085938"
"223","38.86057662963867","38.89787292480469","-77.1334228515625","-77.08551025390625"
"173","38.86063003540039","38.90155792236328","-77.1429672241211","-77.09039306640625"
"278","38.86063003540039","38.90155792236328","-77.1429672241211","-77.09039306640625"
"305","38.8611946105957","38.90325164794922","-77.14202117919922","-77.08799743652344"
"201","38.86189651489258","38.903289794921875","-77.14215087890625","-77.08897399902344"
"316","38.86189651489258","38.903289794921875","-77.14215087890625","-77.08897399902344"
"224","38.862911224365234","38.90336990356445","-77.13882446289062","-77.08684539794922"
"184","38.8611946105957","38.90325164794922","-77.14202117919922","-77.08799743652344"
"322","38.85936737060547","38.90171432495117","-77.14584350585938","-77.09144592285156"
"340","38.862464904785156","38.900177001953125","-77.14312744140625","-77.09468078613281"
"343","38.86026382446289","38.90620422363281","-77.1429672241211","-77.08394622802734"
"344","38.862911224365234","38.90336990356445","-77.13882446289062","-77.08684539794922"
"347","38.86057662963867","38.89787292480469","-77.1334228515625","-77.08551025390625"
"188","38.86125564575195","38.90018844604492","-77.14270782470703","-77.09269714355469"
"302","38.86125564575195","38.90018844604492","-77.14270782470703","-77.09269714355469"
"181","38.86129379272461","38.900550842285156","-77.1423110961914","-77.09188842773438"
"150","38.86145782470703","38.90058517456055","-77.13782501220703","-77.08755493164062"
"328","38.86153030395508","38.89280700683594","-77.13810729980469","-77.09793090820312"
"225","38.86153030395508","38.89280700683594","-77.13810729980469","-77.09793090820312"
"75","38.86155319213867","38.896156311035156","-77.1336441040039","-77.08918762207031"
"170","38.86155319213867","38.896156311035156","-77.1336441040039","-77.08918762207031"
"298","38.86155319213867","38.896156311035156","-77.1336441040039","-77.08918762207031"
"207","38.861995697021484","38.89764404296875","-77.13288879394531","-77.08710479736328"
"331","38.861995697021484","38.89764404296875","-77.13288879394531","-77.08710479736328"
"262","38.86200714111328","38.899269104003906","-77.13943481445312","-77.09156799316406"
"143","38.86200714111328","38.899269104003906","-77.13943481445312","-77.09156799316406"
"186","38.86214065551758","38.897499084472656","-77.13335418701172","-77.08793640136719"
"313","38.86214065551758","38.897499084472656","-77.13335418701172","-77.08793640136719"
"283","38.8621940612793","38.90130615234375","-77.13846588134766","-77.08821868896484"
"182","38.862205505371094","38.89743423461914","-77.14022064208984","-77.09496307373047"
"280","38.862205505371094","38.89743423461914","-77.14022064208984","-77.09496307373047"
"200","38.86279296875","38.899967193603516","-77.14142608642578","-77.09367370605469"
